Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
70	09:40:37	09:40:37	09:40:37	09:40:37	09:40:37	09:40:37	09:40:37	09:40:37	09:40:37	09:40:37	09:40:40	09:40:40	09:40:40	09:40:40	09:40:40	09:40:40	09:40:40	09:40:40	09:40:42	09:40:42		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:02	00:00:05
71	09:40:42	09:40:42	09:40:43	09:40:43	09:40:43	09:40:43			09:40:43	09:40:43	09:40:45	09:40:45	09:40:45	09:40:45	09:40:45	09:40:45			09:40:46	09:40:46		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
72	09:40:46	09:40:46	09:40:46	09:40:46	09:40:46	09:40:46			09:40:46	09:40:46	09:40:49	09:40:49	09:40:49	09:40:49	09:40:49	09:40:49			09:40:49	09:40:49		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
73	09:40:50	09:40:50	09:40:50	09:40:50	09:40:50	09:40:50			09:40:50	09:40:50	09:40:52	09:40:52	09:40:52	09:40:52	09:40:52	09:40:52			09:40:53	09:40:53		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
74	09:40:53	09:40:53	09:40:53	09:40:53	09:40:53	09:40:53			09:40:53	09:40:53	09:40:56	09:40:56	09:40:56	09:40:56	09:40:56	09:40:56			09:40:57	09:40:57		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
75	09:40:57	09:40:57	09:40:57	09:40:57	09:40:58	09:40:58			09:40:58	09:40:58	09:41:00	09:41:00	09:41:00	09:41:00	09:41:00	09:41:00			09:41:01	09:41:01		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
76	09:41:01	09:41:01	09:41:01	09:41:01	09:41:01	09:41:01			09:41:01	09:41:01	09:41:04	09:41:04	09:41:04	09:41:04	09:41:04	09:41:04			09:41:05	09:41:05		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
77	09:41:05	09:41:05	09:41:05	09:41:05	09:41:06	09:41:06			09:41:06	09:41:06	09:41:08	09:41:08	09:41:08	09:41:08	09:41:08	09:41:08			09:41:09	09:41:09		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
78	09:41:09	09:41:09	09:41:09	09:41:09	09:41:09	09:41:09			09:41:09	09:41:09	09:41:12	09:41:12	09:41:12	09:41:12	09:41:12	09:41:12			09:41:13	09:41:13		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
79	09:41:13	09:41:13	09:41:13	09:41:13	09:41:13	09:41:13			09:41:13	09:41:13	09:41:16	09:41:16	09:41:16	09:41:16	09:41:16	09:41:16			09:41:16	09:41:16		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
80	09:41:16	09:41:16	09:41:16	09:41:16	09:41:17	09:41:17	09:41:17	09:41:17	09:41:17	09:41:17	09:41:20	09:41:20	09:41:20	09:41:20	09:41:20	09:41:20	09:41:20	09:41:20	09:41:22	09:41:22		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:02	00:00:05
81	09:41:22	09:41:22	09:41:22	09:41:22	09:41:23	09:41:23			09:41:23	09:41:23	09:41:25	09:41:25	09:41:25	09:41:25	09:41:25	09:41:25			09:41:26	09:41:26		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
82	09:41:26	09:41:26	09:41:26	09:41:26	09:41:26	09:41:26			09:41:26	09:41:26	09:41:29	09:41:29	09:41:29	09:41:29	09:41:29	09:41:29			09:41:29	09:41:29		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
83	09:41:29	09:41:29	09:41:29	09:41:29	09:41:30	09:41:30			09:41:30	09:41:30	09:41:32	09:41:32	09:41:32	09:41:32	09:41:32	09:41:32			09:41:33	09:41:33		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
