Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
69	12:23:39	12:23:39	12:23:39	12:23:39	12:23:39	12:23:39			12:23:39	12:23:39	12:23:40	12:23:40	12:23:40	12:23:40	12:23:40	12:23:40			12:23:40	12:23:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
70	12:23:40	12:23:40	12:23:40	12:23:40	12:23:41	12:23:41	12:23:41	12:23:41	12:23:41	12:23:41	12:23:42	12:23:42	12:23:42	12:23:42	12:23:42	12:23:42	12:23:42	12:23:42	12:23:44	12:23:44		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:03
71	12:23:44	12:23:44	12:23:44	12:23:44	12:23:44	12:23:44			12:23:44	12:23:44	12:23:45	12:23:45	12:23:45	12:23:45	12:23:45	12:23:45			12:23:46	12:23:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
72	12:23:46	12:23:46	12:23:46	12:23:46	12:23:46	12:23:46			12:23:46	12:23:46	12:23:47	12:23:47	12:23:47	12:23:47	12:23:47	12:23:47			12:23:48	12:23:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
73	12:23:48	12:23:48	12:23:48	12:23:48	12:23:48	12:23:48			12:23:48	12:23:48	12:23:49	12:23:49	12:23:49	12:23:49	12:23:49	12:23:49			12:23:49	12:23:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
74	12:23:49	12:23:49	12:23:49	12:23:49	12:23:49	12:23:49			12:23:49	12:23:49	12:23:51	12:23:51	12:23:51	12:23:51	12:23:51	12:23:51			12:23:51	12:23:51		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
75	12:23:51	12:23:51	12:23:51	12:23:51	12:23:52	12:23:52			12:23:52	12:23:52	12:23:52	12:23:52	12:23:52	12:23:52	12:23:52	12:23:52			12:23:53	12:23:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
76	12:23:53	12:23:53	12:23:53	12:23:53	12:23:53	12:23:53			12:23:53	12:23:53	12:23:54	12:23:54	12:23:54	12:23:54	12:23:54	12:23:54			12:23:55	12:23:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
77	12:23:55	12:23:55	12:23:55	12:23:55	12:23:55	12:23:55			12:23:55	12:23:55	12:23:56	12:23:56	12:23:56	12:23:56	12:23:56	12:23:56			12:23:56	12:23:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
78	12:23:56	12:23:56	12:23:56	12:23:56	12:23:57	12:23:57			12:23:57	12:23:57	12:23:57	12:23:57	12:23:57	12:23:57	12:23:57	12:23:57			12:23:58	12:23:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
79	12:23:58	12:23:58	12:23:58	12:23:58	12:23:58	12:23:58			12:23:58	12:23:58	12:23:59	12:23:59	12:23:59	12:23:59	12:23:59	12:23:59			12:24:00	12:24:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:01
80	12:24:00	12:24:00	12:24:00	12:24:00	12:24:00	12:24:00	12:24:00	12:24:00	12:24:00	12:24:00	12:24:01	12:24:01	12:24:01	12:24:01	12:24:01	12:24:01	12:24:01	12:24:01	12:24:04	12:24:04		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:03
81	12:24:04	12:24:04	12:24:04	12:24:04	12:24:04	12:24:04			12:24:04	12:24:04	12:24:05	12:24:05	12:24:05	12:24:05	12:24:05	12:24:05			12:24:05	12:24:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
